timestamp,vibrazione (m/s^2),frequenza (Hz),temperatura (°C),umidità (%)
2025-04-11 15:45:02,,,27.42,26.01
2025-04-11 15:45:05,1.31,0,27.42,26.01
2025-04-11 15:45:05,0.60,16.,27.42,26.01
2025-04-11 15:45:05,1.20,19,27.42,26.01
2025-04-11 15:45:05,1.00,1,27.42,26.01
2025-04-11 15:45:05,1.17,1,27.42,26.01
2025-04-11 15:45:06,1.94,1,27.42,26.01
2025-04-11 15:45:06,0.40,1,27.42,26.01
2025-04-11 15:45:06,1.63,19,27.42,26.01
2025-04-11 15:45:06,0.92,1,27.42,26.01
2025-04-11 15:45:06,0.97,14,27.42,26.01
2025-04-11 15:45:06,1.21,16,27.42,26.01
2025-04-11 15:45:07,,,27.39,26.7
2025-04-11 15:45:12,,,27.40,27.2
2025-04-11 15:45:14,1.05,0,27.40,27.2
2025-04-11 15:45:14,0.98,16,27.40,27.2
2025-04-11 15:45:14,0.94,1,27.40,27.2
2025-04-11 15:45:14,1.01,19.6,27.40,27.2
2025-04-11 15:45:14,1.02,9,27.40,27.2
2025-04-11 15:45:14,0.99,9,27.40,27.2
2025-04-11 15:45:15,1.02,1,27.40,27.2
2025-04-11 15:45:15,0.98,14,27.40,27.2
2025-04-11 15:45:16,1.07,4,27.40,27.2
2025-04-11 15:45:16,1.00,12,27.40,27.2
2025-04-11 15:45:16,1.05,2,27.40,27.2
2025-04-11 15:45:17,0.98,5.,27.40,27.2
2025-04-11 15:45:17,1.01,2,27.40,27.2
2025-04-11 15:45:17,,,27.38,26.8
2025-04-11 15:45:17,0.95,4,27.38,26.8
2025-04-11 15:45:17,0.95,14,27.38,26.8
2025-04-11 15:45:17,0.98,19,27.38,26.8
2025-04-11 15:45:17,1.01,5.92,27.38,26.8
2025-04-11 15:45:18,0.98,14,27.38,26.8
2025-04-11 15:45:18,1.01,1,27.38,26.8
2025-04-11 15:45:18,0.98,16,27.38,26.8
2025-04-11 15:45:18,1.04,14.2,27.38,26.8
2025-04-11 15:45:18,1.00,19,27.38,26.8
2025-04-11 15:45:18,1.03,16,27.38,26.8
2025-04-11 15:45:18,0.99,19,27.38,26.8
2025-04-11 15:45:18,1.07,14.,27.38,26.8
2025-04-11 15:45:18,0.97,1,27.38,26.8
2025-04-11 15:45:18,0.94,16.67,27.38,26.8
2025-04-11 15:45:18,1.03,16,27.38,26.8
2025-04-11 15:45:18,1.06,16.67,27.38,26.8
2025-04-11 15:45:18,1.01,16.,27.38,26.8
2025-04-11 15:45:18,0.97,1,27.38,26.8
2025-04-11 15:45:19,1.03,2,27.38,26.8
2025-04-11 15:45:19,1.08,1,27.38,26.8
2025-04-11 15:45:19,1.18,14,27.38,26.8
2025-04-11 15:45:19,1.36,19.61,27.38,26.8
2025-04-11 15:45:19,0.87,16,27.38,26.8
2025-04-11 15:45:19,0.74,16,27.38,26.8
2025-04-11 15:45:19,0.94,16,27.38,26.8
2025-04-11 15:45:19,1.29,1,27.38,26.8
2025-04-11 15:45:19,1.16,14.,27.38,26.8
2025-04-11 15:45:20,1.49,19,27.38,26.8
2025-04-11 15:45:20,1.36,1,27.38,26.8
2025-04-11 15:45:20,0.52,16,27.38,26.8
2025-04-11 15:45:20,0.43,1,27.38,26.8
2025-04-11 15:45:20,1.28,1,27.38,26.8
2025-04-11 15:45:20,1.20,19.,27.38,26.8
2025-04-11 15:45:20,0.69,14,27.38,26.8
2025-04-11 15:45:20,0.96,1,27.38,26.8
2025-04-11 15:45:20,1.10,1,27.38,26.8
2025-04-11 15:45:20,0.91,19,27.38,26.8
2025-04-11 15:45:20,1.01,16,27.38,26.8
2025-04-11 15:45:20,0.96,12.5,27.38,26.8
2025-04-11 15:45:21,1.01,1,27.38,26.8
2025-04-11 15:45:21,0.97,1,27.38,26.8
2025-04-11 15:45:21,1.03,1,27.38,26.8
2025-04-11 15:45:21,0.99,14,27.38,26.8
2025-04-11 15:45:21,0.96,14,27.38,26.8
2025-04-11 15:45:21,0.99,19,27.38,26.8
2025-04-11 15:45:21,1.03,9,27.38,26.8
2025-04-11 15:45:22,,,27.36,26.3
