timestamp,modulo,vibrazione (m/s^2),frequenza (Hz)
2025-04-11 16:43:51,A,1.05,0.02
2025-04-11 16:43:51,A,1.06,19.61
2025-04-11 16:43:51,A,1.01,16
2025-04-11 16:43:51,A,0.86,19
2025-04-11 16:43:51,A,1.04,1
2025-04-11 16:43:51,A,1.07,1
2025-04-11 16:43:52,A,1.17,16
2025-04-11 16:43:52,A,1.52,1
2025-04-11 16:43:52,A,0.51,16
2025-04-11 16:43:52,A,0.88,1
2025-04-11 16:43:52,A,0.98,14
2025-04-11 16:43:52,A,0.73,1
2025-04-11 16:43:52,A,0.22,19
2025-04-11 16:43:52,A,1.26,16.
2025-04-11 16:43:52,A,0.20,19
2025-04-11 16:43:52,A,2.46,14
2025-04-11 16:43:53,A,2.10,1
2025-04-11 16:43:53,A,4.18,1
2025-04-11 16:43:53,A,3.29,1
2025-04-11 16:43:53,A,1.56,1
2025-04-11 16:43:53,A,3.55,15
2025-04-11 16:43:53,A,5.02,19
2025-04-11 16:43:53,A,1.08,16
2025-04-11 16:43:54,A,0.57,19
2025-04-11 16:43:54,A,4.77,19.61
2025-04-11 16:43:54,A,1.03,1
2025-04-11 16:43:54,A,1.04,1
2025-04-11 16:43:54,A,4.27,1
2025-04-11 16:43:54,A,0.90,16.
2025-04-11 16:43:54,A,2.46,1
2025-04-11 16:43:55,A,1.10,19
2025-04-11 16:43:55,A,0.71,16
2025-04-11 16:43:55,A,1.66,16
2025-04-11 16:43:55,A,1.76,19.
2025-04-11 16:43:55,A,0.83,1
2025-04-11 16:43:55,A,1.18,1
2025-04-11 16:43:55,A,1.02,1
2025-04-11 16:43:55,A,0.92,16
2025-04-11 16:43:55,A,1.00,1
2025-04-11 16:44:06,A,0.96,0
2025-04-11 16:44:06,A,1.05,9
2025-04-11 16:44:06,A,1.00,12
2025-04-11 16:44:06,A,0.95,10.
2025-04-11 16:44:07,A,1.20,19
2025-04-11 16:44:07,A,1.83,19
2025-04-11 16:44:07,A,0.81,1
2025-04-11 16:44:07,A,1.64,19
2025-04-11 16:44:07,A,1.50,1
2025-04-11 16:44:07,A,1.15,16.
2025-04-11 16:44:07,A,0.93,1
2025-04-11 16:44:07,A,1.09,1
2025-04-11 16:44:07,A,1.13,14
2025-04-11 16:44:07,A,1.12,1
2025-04-11 16:44:08,A,1.08,19
2025-04-11 16:44:08,A,0.96,16.
2025-04-11 16:44:08,A,1.01,8
2025-04-11 16:44:08,A,1.04,7
2025-04-11 16:44:08,A,0.96,1
2025-04-11 16:44:08,A,1.04,16
2025-04-11 16:44:08,A,1.00,1
2025-04-11 16:44:09,A,0.90,1
2025-04-11 16:44:09,A,1.15,16
2025-04-11 16:44:09,A,1.23,16
2025-04-11 16:44:09,A,1.02,16.
2025-04-11 16:44:09,A,0.94,19
2025-04-11 16:44:09,A,0.73,14
2025-04-11 16:44:09,A,0.54,1
2025-04-11 16:44:09,A,1.46,1
2025-04-11 16:44:09,A,1.01,16
2025-04-11 16:44:09,A,0.95,1
2025-04-11 16:44:09,A,0.92,1
2025-04-11 16:44:10,A,0.98,6.
2025-04-11 16:44:21,A,1.02,0
