timestamp,modulo,NO2 (ppm)
2025-05-10 11:20:17,b,0.05
2025-05-10 11:20:22,b,0.05
2025-05-10 11:20:27,b,0.04
2025-05-10 11:20:32,b,0.03
2025-05-10 11:20:37,b,0.03
2025-05-10 11:20:42,b,0.06
2025-05-10 11:20:47,b,0.04
2025-05-10 11:20:52,b,0.04
2025-05-10 11:20:57,b,0.06
2025-05-10 11:21:02,b,0.06
2025-05-10 11:21:07,b,0.07
2025-05-10 11:21:12,b,0.03
2025-05-10 11:21:17,b,0.04
2025-05-10 11:21:22,b,0.04
2025-05-10 11:21:27,b,0.05
2025-05-10 11:21:32,b,0.04
2025-05-10 11:21:37,b,0.07
2025-05-10 11:21:42,b,0.03
2025-05-10 11:21:47,b,0.04
2025-05-10 11:21:52,b,0.07
2025-05-10 11:21:57,b,0.07
2025-05-10 11:22:02,b,0.05
2025-05-10 11:22:07,b,0.05
2025-05-10 11:22:12,b,0.07
2025-05-10 11:22:17,b,0.07
2025-05-10 11:22:22,b,0.07
2025-05-10 11:22:27,b,0.05
2025-05-10 11:22:32,b,0.06
2025-05-10 11:22:37,b,0.06
2025-05-10 11:22:42,b,0.06
2025-05-10 11:22:47,b,0.06
2025-05-10 11:22:52,b,0.04
2025-05-10 11:22:57,b,0.04
2025-05-10 11:23:02,b,0.04
2025-05-10 11:23:07,b,0.05
2025-05-10 11:23:12,b,0.07
2025-05-10 11:23:17,b,0.05
2025-05-10 11:23:22,b,0.03
2025-05-10 11:23:27,b,0.04
2025-05-10 11:23:32,b,0.03
2025-05-10 11:23:37,b,0.03
2025-05-10 11:23:42,b,0.07
2025-05-10 11:23:47,b,0.06
2025-05-10 11:23:52,b,0.04
2025-05-10 11:23:57,b,0.07
2025-05-10 11:24:02,b,0.05
2025-05-10 11:24:07,b,0.07
2025-05-10 11:24:12,b,0.04
