timestamp,modulo,temperatura (°C),umidità (%)
2025-05-04 15:35:50,a,25.39,62.60
2025-05-04 15:43:40,a,25.23,62.01
2025-05-04 15:43:50,a,25.26,62.01
2025-05-04 15:43:55,a,25.27,63.05
2025-05-04 15:44:00,a,25.29,62.82
2025-05-04 15:44:05,a,25.29,62.20
2025-05-04 15:44:10,a,25.30,62.05
2025-05-04 15:44:15,a,25.31,61.77
2025-05-04 15:44:20,a,25.34,61.89
2025-05-04 15:44:25,a,25.34,61.84
2025-05-04 15:44:30,a,25.37,61.78
2025-05-04 15:44:35,a,25.38,61.83
2025-05-04 15:57:06,a,25.37,61.04
2025-05-04 15:59:01,a,25.45,61.01
2025-05-04 15:59:06,a,25.45,60.89
2025-05-04 15:59:11,a,25.45,60.80
2025-05-04 15:59:16,a,25.46,60.78
2025-05-04 15:59:21,a,25.48,60.88
2025-05-04 16:00:06,a,25.41,60.86
2025-05-04 16:00:11,a,25.44,60.73
2025-05-04 16:00:16,a,25.45,60.75
2025-05-04 16:00:21,a,25.46,60.76
2025-05-04 16:00:31,a,25.49,60.43
2025-05-04 16:00:36,a,25.52,60.51
2025-05-04 16:00:41,a,25.53,60.45
2025-05-04 16:00:46,a,25.57,62.82
2025-05-04 16:00:51,a,25.60,62.07
2025-05-04 16:00:56,a,25.62,63.72
2025-05-04 16:01:01,a,25.65,62.28
2025-05-04 16:01:06,a,25.68,61.24
2025-05-04 16:01:11,a,25.69,60.70
2025-05-04 16:01:16,a,25.72,60.49
2025-05-04 16:01:21,a,25.73,60.12
2025-05-04 16:01:26,a,25.76,60.04
2025-05-04 16:01:31,a,25.76,61.80
2025-05-04 16:01:36,a,25.79,61.30
2025-05-04 16:01:41,a,25.79,60.44
2025-05-04 16:01:51,a,25.81,60.08
2025-05-04 16:01:56,a,25.84,59.98
2025-05-04 16:02:01,a,25.84,59.61
2025-05-04 16:02:06,a,25.84,59.48
2025-05-04 16:02:11,a,25.84,59.16
2025-05-04 16:02:16,a,25.85,59.08
2025-05-04 16:02:21,a,25.87,59.12
2025-05-04 16:02:26,a,25.87,59.16
2025-05-04 16:02:31,a,25.90,59.12
2025-05-04 16:02:36,a,25.91,58.98
2025-05-04 16:02:41,a,25.92,59.02
2025-05-04 16:02:46,a,25.94,58.75
2025-05-04 16:02:51,a,25.94,58.73
2025-05-04 16:02:56,a,25.94,58.73
2025-05-04 16:03:01,a,25.94,58.81
2025-05-04 16:03:06,a,25.95,58.78
2025-05-04 16:03:11,a,25.96,58.83
2025-05-04 16:03:16,a,25.98,58.76
2025-05-04 16:03:21,a,25.99,58.48
2025-05-04 16:03:26,a,25.99,58.84
