timestamp,modulo,vibrazione (m/s²),frequenza (Hz)
2025-05-04 15:35:46,a,0.96,0.01
2025-05-04 15:35:46,a,1.03,14.29
2025-05-04 15:35:47,a,0.97,1.78
2025-05-04 15:35:47,a,1.01,14.29
2025-05-04 15:43:36,a,1.03,16.39
2025-05-04 15:43:36,a,1.13,20.00
2025-05-04 15:43:37,a,1.05,5.88
2025-05-04 15:43:37,a,0.96,14.29
2025-05-04 15:43:38,a,1.04,12.35
2025-05-04 15:43:38,a,0.96,6.67
2025-05-04 15:43:38,a,1.02,14.29
2025-05-04 15:43:39,a,0.97,20.00
2025-05-04 15:43:39,a,0.93,14.29
2025-05-04 15:43:39,a,1.04,3.32
2025-05-04 15:43:40,a,0.92,8.93
2025-05-04 15:43:40,a,0.97,4.33
2025-05-04 15:43:40,a,0.93,20.00
2025-05-04 15:43:41,a,1.07,5.52
2025-05-04 15:43:42,a,0.98,0.71
2025-05-04 15:43:43,a,1.01,2.43
2025-05-04 15:43:43,a,0.97,12.35
2025-05-04 15:43:43,a,1.03,4.33
2025-05-04 15:43:43,a,1.08,7.14
2025-05-04 15:43:43,a,1.01,16.39
2025-05-04 15:43:43,a,0.97,14.29
2025-05-04 15:43:44,a,1.02,10.99
2025-05-04 15:43:48,a,1.04,3.97
2025-05-04 15:43:48,a,0.96,16.95
2025-05-04 15:43:48,a,1.02,4.72
2025-05-04 15:43:49,a,1.06,2.08
2025-05-04 15:43:49,a,0.93,14.29
2025-05-04 15:43:50,a,1.04,4.15
2025-05-04 15:43:50,a,0.97,4.74
2025-05-04 15:43:50,a,1.02,7.09
2025-05-04 15:43:50,a,0.98,12.05
2025-05-04 15:43:51,a,1.08,14.29
2025-05-04 15:43:51,a,0.91,2.49
2025-05-04 15:43:52,a,0.98,1.78
2025-05-04 15:43:52,a,1.03,10.99
2025-05-04 15:43:52,a,0.96,7.14
2025-05-04 15:57:06,a,0.98,4.74
2025-05-04 15:57:06,a,1.01,16.95
2025-05-04 15:57:06,a,1.04,12.50
2025-05-04 15:57:06,a,0.93,20.00
2025-05-04 15:58:58,a,1.05,0.01
2025-05-04 15:58:59,a,0.96,10.99
2025-05-04 15:58:59,a,1.02,12.50
2025-05-04 15:58:59,a,0.97,14.08
2025-05-04 15:58:59,a,1.03,8.33
2025-05-04 15:58:59,a,0.96,3.98
2025-05-04 15:59:19,a,1.03,0.05
2025-05-04 15:59:20,a,0.98,16.39
2025-05-04 15:59:20,a,1.03,12.35
2025-05-04 15:59:21,a,0.98,9.09
2025-05-04 15:59:21,a,1.05,1.51
2025-05-04 15:59:21,a,1.01,16.39
2025-05-04 15:59:22,a,1.05,20.00
2025-05-04 15:59:51,a,1.07,16.67
2025-05-04 16:01:47,a,1.05,16.67
2025-05-04 16:01:47,a,1.26,10.99
2025-05-04 16:01:48,a,1.14,20.00
2025-05-04 16:01:48,a,0.98,16.67
2025-05-04 16:01:48,a,1.06,11.24
2025-05-04 16:01:49,a,0.92,14.29
2025-05-04 16:01:49,a,1.02,20.00
2025-05-04 16:01:49,a,0.96,16.67
2025-05-04 16:01:49,a,1.03,10.99
2025-05-04 16:01:49,a,0.99,16.67
2025-05-04 16:01:49,a,1.06,20.00
2025-05-04 16:01:49,a,1.00,7.69
2025-05-04 16:01:50,a,1.04,10.00
2025-05-04 16:01:50,a,0.99,12.50
2025-05-04 16:01:50,a,0.81,20.00
