timestamp,modulo,temperatura (°C),umidità (%)
2025-04-15 15:17:22,a,26.85,42.95
2025-04-15 15:17:27,a,26.84,43.72
2025-04-15 15:17:32,a,26.85,46.88
2025-04-15 15:17:37,a,26.85,43.32
2025-04-15 15:17:42,a,26.87,42.97
2025-04-15 15:17:47,a,26.88,42.87
2025-04-15 15:18:57,a,26.84,42.79
2025-04-15 15:19:02,a,26.82,43.25
2025-04-15 15:19:07,a,26.78,42.88
2025-04-15 15:19:12,a,26.77,42.85
2025-04-15 15:19:17,a,26.77,42.80
2025-04-15 15:19:22,a,26.77,43.00
2025-04-15 15:19:27,a,26.77,42.88
2025-04-15 15:19:32,a,26.77,43.93
2025-04-15 15:19:37,a,26.77,43.64
2025-04-15 15:19:42,a,26.77,43.18
2025-04-15 15:19:47,a,26.77,43.37
2025-04-15 15:19:52,a,26.77,43.07
2025-04-15 15:19:57,a,26.77,43.40
2025-04-15 15:20:02,a,26.76,43.82
2025-04-15 15:20:07,a,26.77,43.72
2025-04-15 15:20:12,a,26.78,44.39
2025-04-15 15:27:07,a,26.54,44.04
2025-04-15 15:27:12,a,26.54,44.14
2025-04-15 15:27:17,a,26.54,44.00
2025-04-15 15:27:22,a,26.56,43.72
2025-04-15 15:27:27,a,26.54,43.69
2025-04-15 15:27:32,a,26.56,43.82
2025-04-15 15:27:37,a,26.58,44.19
2025-04-15 15:27:42,a,26.56,44.01
2025-04-15 15:27:47,a,26.56,43.80
2025-04-15 15:27:52,a,26.58,44.38
2025-04-15 15:27:57,a,26.59,45.28
2025-04-15 15:28:02,a,26.59,44.24
2025-04-15 15:28:07,a,26.59,43.89
2025-04-15 15:28:12,a,26.59,44.53
2025-04-15 15:28:17,a,26.58,44.26
2025-04-15 15:28:22,a,26.58,45.06
2025-04-15 15:28:27,a,26.56,44.11
2025-04-15 15:28:32,a,26.56,43.82
2025-04-15 15:28:37,a,26.56,43.69
2025-04-15 15:28:42,a,26.58,43.95
2025-04-15 15:28:47,a,26.58,43.86
2025-04-15 15:28:52,a,26.59,43.67
2025-04-15 15:28:57,a,26.58,43.78
2025-04-15 15:29:02,a,26.61,43.72
2025-04-15 15:29:07,a,26.61,43.76
2025-04-15 15:29:12,a,26.63,43.98
2025-04-15 15:29:17,a,26.62,43.67
2025-04-15 15:29:22,a,26.63,43.69
2025-04-15 15:29:27,a,26.62,43.72
2025-04-15 15:29:32,a,26.62,43.57
2025-04-15 15:29:37,a,26.62,43.37
2025-04-15 15:29:42,a,26.63,43.37
2025-04-15 15:29:47,a,26.63,43.37
2025-04-15 15:29:52,a,26.63,43.17
2025-04-15 15:29:57,a,26.62,44.77
2025-04-15 15:30:02,a,26.63,43.92
2025-04-15 15:30:07,a,26.62,43.79
2025-04-15 15:30:12,a,26.65,44.10
2025-04-15 15:30:17,a,26.65,43.75
2025-04-15 15:30:37,a,26.66,43.75
2025-04-15 15:35:02,a,26.63,44.02
2025-04-15 15:35:07,a,26.63,44.26
2025-04-15 15:35:12,a,26.63,44.45
2025-04-15 15:35:17,a,26.62,44.26
2025-04-15 15:35:22,a,26.63,44.20
2025-04-15 15:35:27,a,26.62,44.16
