timestamp,modulo,vibrazione (m/s^2),frequenza (Hz)
2025-04-15 15:17:27,a,0.84,12.66
2025-04-15 15:17:28,a,0.93,16.67
2025-04-15 15:17:30,a,0.89,19.61
2025-04-15 15:18:57,a,0.93,10.99
2025-04-15 15:18:57,a,1.03,10.0
2025-04-15 15:18:57,a,1.0,20.0
2025-04-15 15:19:12,a,0.95,0.16
2025-04-15 15:19:12,a,0.99,12.05
2025-04-15 15:19:20,a,0.95,0.13
2025-04-15 15:19:21,a,0.92,0.73
2025-04-15 15:19:21,a,0.98,19.61
2025-04-15 15:19:51,a,1.05,0.03
2025-04-15 15:27:34,a,1.05,16.67
2025-04-15 15:27:35,a,1.0,12.35
2025-04-15 15:27:35,a,1.05,2.16
2025-04-15 15:27:36,a,1.02,2.93
2025-04-15 15:27:36,a,0.98,19.61
2025-04-15 15:27:36,a,1.02,12.5
2025-04-15 15:27:37,a,0.99,3.56
2025-04-15 15:27:38,a,1.03,1.23
2025-04-15 15:27:52,a,0.97,0.07
2025-04-15 15:27:52,a,1.01,2.26
2025-04-15 15:27:53,a,1.07,1.49
2025-04-15 15:27:59,a,1.01,0.19
2025-04-15 15:28:01,a,1.07,0.78
2025-04-15 15:28:05,a,0.95,0.21
2025-04-15 15:35:05,a,1.14,20.0
2025-04-15 15:39:30,a,1.03,0.0
2025-04-15 15:46:47,a,0.87,1.92
2025-04-15 15:46:48,a,1.11,3.98
2025-04-15 15:46:48,a,1.21,16.95
2025-04-15 15:46:49,a,1.0,12.5
2025-04-15 15:47:14,a,0.95,0.04
2025-04-15 15:47:15,a,1.0,3.69
2025-04-15 15:47:18,a,1.03,0.58
2025-04-15 15:47:18,a,0.98,4.76
2025-04-15 15:47:36,a,1.06,0.06
2025-04-15 15:47:36,a,1.02,5.0
2025-04-15 15:47:36,a,0.99,2.84
2025-04-15 15:47:50,a,1.02,0.07
2025-04-15 15:47:50,a,0.98,11.11
2025-04-15 15:47:50,a,1.05,1.66
2025-04-15 15:47:51,a,1.1,10.99
2025-04-15 15:47:51,a,0.94,16.95
2025-04-15 15:50:50,a,0.95,0.61
2025-04-15 15:52:52,a,1.03,0.51
2025-04-15 15:52:52,a,1.12,12.5
2025-04-15 15:52:53,a,0.99,14.29
2025-04-15 15:52:54,a,1.02,10.0
2025-04-15 15:52:55,a,0.98,1.01
2025-04-15 15:53:00,a,0.94,14.29
2025-04-15 15:53:00,a,1.08,16.39
2025-04-15 15:53:01,a,1.03,8.33
2025-04-15 15:53:03,a,1.06,12.2
2025-04-15 15:53:05,a,1.03,16.95
2025-04-15 15:53:06,a,0.97,14.29
2025-04-15 15:53:06,a,1.01,16.95
2025-04-15 15:53:06,a,0.97,20.0
2025-04-15 15:53:06,a,0.94,12.66
2025-04-15 15:53:08,a,0.77,14.08
2025-04-15 15:53:09,a,0.97,3.7
2025-04-15 15:53:09,a,1.02,16.67
2025-04-15 15:53:09,a,0.99,4.98
2025-04-15 15:53:10,a,1.02,1.61
2025-04-15 15:53:10,a,0.83,5.85
2025-04-15 15:53:18,a,0.51,12.66
2025-04-15 15:53:20,a,0.95,1.58
2025-04-15 15:53:20,a,1.01,4.35
2025-04-15 15:54:21,a,1.07,16.39
2025-04-15 15:54:21,a,1.03,14.29
2025-04-15 15:54:21,a,0.98,12.5
2025-04-15 15:54:22,a,1.02,11.11
2025-04-15 15:54:22,a,0.94,19.61
2025-04-15 15:54:23,a,1.01,16.67
2025-04-15 15:54:23,a,0.94,12.2
2025-04-15 15:54:24,a,1.04,5.24
2025-04-15 15:54:24,a,0.97,1.49
2025-04-15 15:54:24,a,1.03,9.9
2025-04-15 15:54:25,a,0.99,7.69
2025-04-15 15:54:34,a,1.26,16.67
2025-04-15 15:54:36,a,1.21,20.0
2025-04-15 15:54:37,a,0.95,14.08
2025-04-15 15:54:37,a,0.99,20.0
2025-04-15 15:54:37,a,0.96,14.08
2025-04-15 15:54:37,a,0.87,16.67
2025-04-15 15:54:38,a,1.39,12.66
2025-04-15 15:54:38,a,0.86,16.39
2025-04-15 15:54:50,a,1.04,0.09
2025-04-15 16:01:00,a,1.06,12.5
2025-04-15 16:01:04,a,0.87,16.39
2025-04-15 16:01:04,a,1.05,20.0
2025-04-15 16:01:05,a,0.98,16.39
2025-04-15 16:01:05,a,1.04,1.3
2025-04-15 16:03:11,a,1.22,1.42
2025-04-15 16:03:11,a,0.85,20.0
2025-04-15 16:03:12,a,0.99,12.2
2025-04-15 16:03:12,a,0.95,5.85
2025-04-15 16:03:12,a,1.03,16.39
2025-04-15 16:03:12,a,1.11,20.0
2025-04-15 16:03:12,a,0.98,12.35
2025-04-15 16:03:34,a,0.9,9.09
2025-04-15 16:03:35,a,1.06,0.78
2025-04-15 16:03:41,a,0.97,0.18
2025-04-15 16:03:41,a,1.01,6.25
2025-04-15 16:03:48,a,1.06,0.14
2025-04-15 16:03:48,a,1.01,12.5
2025-04-15 16:03:49,a,0.97,6.21
2025-04-15 16:12:12,a,0.93,16.39
2025-04-15 16:12:12,a,1.01,19.61
2025-04-15 16:12:12,a,0.98,14.08
2025-04-15 16:12:12,a,1.02,7.14
2025-04-15 16:12:12,a,1.06,6.25
2025-04-15 16:12:13,a,1.1,8.26
2025-04-15 16:12:13,a,0.86,19.61
2025-04-15 16:12:13,a,1.04,14.08
2025-04-15 16:12:13,a,0.99,16.39
2025-04-15 16:12:14,a,1.02,1.92
2025-04-15 16:12:15,a,0.98,12.5
2025-04-15 16:12:15,a,1.03,1.56
2025-04-15 16:12:15,a,0.97,16.39
2025-04-15 16:12:16,a,1.02,12.5
2025-04-15 16:15:05,a,1.1,16.67
2025-04-15 16:15:06,a,1.39,10.42
2025-04-15 16:15:07,a,0.97,16.39
2025-04-15 16:15:07,a,0.93,3.42
2025-04-15 16:15:07,a,0.97,14.29
2025-04-15 16:15:08,a,1.01,8.26
2025-04-15 16:16:03,a,0.99,14.29
2025-04-15 16:16:04,a,1.03,4.74
2025-04-15 16:16:05,a,0.97,5.26
2025-04-15 16:20:58,a,1.03,10.99
2025-04-15 16:20:59,a,1.06,16.39
2025-04-15 16:20:59,a,1.1,20.0
2025-04-15 16:22:16,a,0.98,12.35
2025-04-15 16:22:17,a,1.02,1.99
2025-04-15 16:23:24,a,0.87,16.67
2025-04-15 16:23:25,a,1.06,19.61
2025-04-15 16:23:25,a,0.95,1.4
2025-04-15 16:23:26,a,0.98,16.67
2025-04-15 16:23:26,a,1.03,1.69
2025-04-15 16:23:27,a,0.99,3.69
2025-04-15 16:23:27,a,1.03,5.85
2025-04-15 16:23:29,a,0.96,2.22
2025-04-15 16:23:29,a,1.0,9.09
2025-04-15 16:23:30,a,1.04,5.24
2025-04-15 16:23:40,a,1.06,1.07
2025-04-15 16:23:40,a,1.0,12.5
2025-04-15 16:23:41,a,1.04,20.0
2025-04-15 16:23:41,a,0.96,11.24
2025-04-15 16:23:41,a,0.99,20.0
2025-04-15 16:23:41,a,1.05,14.29
2025-04-15 16:23:41,a,0.99,9.09
2025-04-15 16:23:42,a,1.02,19.61
2025-04-15 16:23:42,a,0.98,10.99
2025-04-15 16:23:42,a,1.02,16.67
2025-04-15 16:23:42,a,0.96,2.43
2025-04-15 16:23:43,a,1.09,8.33
2025-04-15 16:23:43,a,1.02,12.5
2025-04-15 16:23:43,a,1.1,11.11
2025-04-15 16:23:43,a,1.0,16.39
2025-04-15 16:23:43,a,1.05,9.09
2025-04-15 16:23:44,a,1.12,1.25
2025-04-15 16:23:44,a,0.93,7.14
2025-04-15 16:23:45,a,1.01,16.67
2025-04-15 16:23:45,a,1.05,5.0
2025-04-15 16:23:45,a,1.16,5.85
2025-04-15 16:23:45,a,0.95,20.0
2025-04-15 16:23:46,a,0.99,2.85
2025-04-15 16:23:46,a,1.05,14.08
2025-04-15 16:23:47,a,1.08,1.58
2025-04-15 16:23:47,a,1.05,10.99
2025-04-15 16:23:47,a,0.89,5.85
2025-04-15 16:23:48,a,1.01,7.09
2025-04-15 16:23:48,a,1.05,20.0
2025-04-15 16:23:48,a,0.97,12.5
2025-04-15 16:23:49,a,1.06,16.39
2025-04-15 16:23:49,a,1.02,8.33
2025-04-15 16:23:49,a,0.98,19.61
2025-04-15 16:23:49,a,1.04,6.21
2025-04-15 16:23:49,a,0.99,10.42
2025-04-15 16:23:49,a,1.08,14.08
2025-04-15 16:23:50,a,0.98,4.31
2025-04-15 16:23:50,a,1.01,14.29
2025-04-15 16:23:51,a,0.97,6.21
2025-04-15 16:23:51,a,1.06,10.99
2025-04-15 16:23:51,a,1.0,16.95
2025-04-15 16:23:51,a,0.9,6.62
2025-04-15 16:23:52,a,1.05,19.61
2025-04-15 16:23:52,a,1.22,16.67
2025-04-15 16:23:53,a,1.03,19.61
2025-04-15 16:23:53,a,0.98,16.67
2025-04-15 16:23:54,a,1.02,10.99
2025-04-15 16:23:54,a,0.99,16.39
2025-04-15 16:23:54,a,1.04,14.29
2025-04-15 16:23:55,a,1.0,1.35
2025-04-15 16:23:56,a,0.95,20.0
2025-04-15 16:23:57,a,1.0,0.84
2025-04-15 16:23:59,a,0.91,4.15
2025-04-15 16:24:00,a,1.07,7.69
2025-04-15 16:24:00,a,0.99,9.01
2025-04-15 16:24:00,a,1.05,16.67
2025-04-15 16:24:00,a,0.97,20.0
2025-04-15 16:24:01,a,1.01,3.83
2025-04-15 16:24:03,a,1.08,0.42
2025-04-15 16:24:03,a,1.0,12.35
2025-04-15 16:24:07,a,0.97,0.31
2025-04-15 16:24:08,a,0.93,1.01
2025-04-15 16:24:08,a,1.05,6.67
2025-04-15 16:24:10,a,1.0,0.48
2025-04-15 16:24:12,a,0.96,2.43
2025-04-15 16:24:12,a,1.02,16.67
2025-04-15 16:24:19,a,0.99,0.14
2025-04-15 16:24:20,a,1.02,1.72
2025-04-15 16:24:41,a,1.1,0.12
2025-04-15 16:24:41,a,0.98,20.0
2025-04-15 16:24:41,a,1.02,16.39
2025-04-15 16:24:42,a,1.19,3.44
2025-04-15 16:24:50,a,1.05,0.14
2025-04-15 16:25:53,a,0.99,12.35
2025-04-15 16:25:58,a,1.05,0.21
2025-04-15 16:25:58,a,1.02,7.63
2025-04-15 16:26:03,a,0.98,6.67
2025-04-15 16:26:06,a,1.07,0.13
2025-04-15 16:26:07,a,0.95,1.37
2025-04-15 16:26:07,a,0.98,19.61
2025-04-15 16:26:09,a,1.05,0.62
2025-04-15 16:26:39,a,0.99,0.05
2025-04-15 16:26:39,a,1.02,5.52
2025-04-15 16:26:41,a,0.99,0.45
2025-04-15 16:27:34,a,0.94,11.24
2025-04-15 16:27:34,a,0.97,12.35
2025-04-15 16:27:45,a,1.09,9.01
2025-04-15 16:27:45,a,1.03,3.32
2025-04-15 16:27:49,a,0.98,0.24
2025-04-15 16:27:50,a,1.02,4.33
2025-04-15 16:27:52,a,0.98,0.52
2025-04-15 16:30:10,a,0.94,5.56
2025-04-15 16:30:16,a,0.97,0.15
2025-04-15 16:30:17,a,1.0,3.02
2025-04-15 16:30:32,a,0.96,0.07
2025-04-15 16:30:32,a,1.02,3.32
2025-04-15 16:30:33,a,0.98,0.9
2025-04-15 16:30:33,a,1.02,12.5
2025-04-15 16:31:05,a,1.06,12.5
2025-04-15 16:38:33,a,0.95,10.99
2025-04-15 16:38:33,a,1.32,16.67
2025-04-15 16:38:35,a,0.9,20.0
2025-04-15 16:38:37,a,0.98,9.09
2025-04-15 16:38:37,a,1.03,12.35
2025-04-15 16:38:37,a,0.99,3.12
2025-04-15 16:38:37,a,0.96,14.08
2025-04-15 16:38:38,a,0.91,12.82
2025-04-15 16:38:38,a,1.1,16.39
2025-04-15 16:38:38,a,0.95,8.33
2025-04-15 16:38:38,a,0.99,12.35
2025-04-15 16:38:38,a,1.02,16.95
2025-04-15 16:38:38,a,1.08,20.0
2025-04-15 16:38:39,a,1.16,10.1
2025-04-15 16:38:39,a,1.04,11.11
2025-04-15 16:38:39,a,0.99,16.95
2025-04-15 16:38:40,a,0.88,19.61
2025-04-15 16:38:40,a,1.04,16.95
2025-04-15 16:38:41,a,0.97,6.62
2025-04-15 16:38:41,a,1.09,2.84
2025-04-15 16:41:02,a,0.98,3.03
2025-04-15 16:41:02,a,1.07,20.0
2025-04-15 16:41:07,a,0.98,3.55
2025-04-15 16:41:07,a,1.02,12.35
2025-04-15 16:41:20,a,0.97,0.09
2025-04-15 16:41:41,a,1.03,5.26
2025-04-15 16:41:47,a,0.99,0.15
2025-04-15 16:41:53,a,1.04,2.85
2025-04-15 16:41:53,a,0.99,3.85
2025-04-15 16:41:54,a,1.03,1.92
2025-04-15 16:42:02,a,0.98,0.12
2025-04-15 16:42:33,a,1.08,19.61
2025-04-15 16:42:34,a,0.99,12.5
2025-04-15 16:45:26,a,0.99,12.35
2025-04-15 16:45:26,a,1.02,16.67
